2024-09-09 20:17:06.359 ERROR [http-nio-8080-exec-1] org.example.logging.controller.LogController : This is a ERROR log
2024-09-09 20:17:07.837 INFO  [http-nio-8080-exec-2] org.example.logging.controller.LogController : This is a INFO log
2024-09-09 20:17:07.837 WARN  [http-nio-8080-exec-2] org.example.logging.controller.LogController : This is a WARN log
2024-09-09 20:17:07.837 ERROR [http-nio-8080-exec-2] org.example.logging.controller.LogController : This is a ERROR log
2024-09-09 20:18:05.512 INFO  [restartedMain] org.example.logging.Application : Starting Application using Java 17.0.11 with PID 23420 (E:\SpringProject\spring\spring-boot-practice\spring-boot-logging\target\classes started by 86184 in E:\SpringProject\spring\spring-boot-practice)
2024-09-09 20:18:05.514 INFO  [restartedMain] org.example.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-09-09 20:18:05.546 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-09-09 20:18:05.546 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-09-09 20:18:06.116 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-09-09 20:18:06.125 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-09-09 20:18:06.126 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-09-09 20:18:06.161 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-09-09 20:18:06.161 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 615 ms
2024-09-09 20:18:06.362 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-09-09 20:18:06.387 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-09-09 20:18:06.393 INFO  [restartedMain] org.example.logging.Application : Started Application in 1.196 seconds (process running for 1.703)
2024-09-09 20:18:12.310 INFO  [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-09-09 20:18:12.310 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2024-09-09 20:18:12.311 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Completed initialization in 1 ms
2024-09-09 20:18:12.329 INFO  [http-nio-8080-exec-1] org.example.logging.controller.LogController : This is a INFO log
2024-09-09 20:18:12.329 WARN  [http-nio-8080-exec-1] org.example.logging.controller.LogController : This is a WARN log
2024-09-09 20:18:12.329 ERROR [http-nio-8080-exec-1] org.example.logging.controller.LogController : This is a ERROR log
2024-09-09 20:18:13.266 INFO  [http-nio-8080-exec-2] org.example.logging.controller.LogController : This is a INFO log
2024-09-09 20:18:13.267 WARN  [http-nio-8080-exec-2] org.example.logging.controller.LogController : This is a WARN log
2024-09-09 20:18:13.267 ERROR [http-nio-8080-exec-2] org.example.logging.controller.LogController : This is a ERROR log
